search_term,country,location,author_name,author_title,author_url,post_url,post_text,post_date,scraped_date
BIM Modeler,United States,Estados Unidos,N/A,"HR and Administrative Officer | Full-Cycle Recruitment | UAE HR Operations | Customer Service| Office Management
HR and Administrative Officer | Full-Cycle Recruitment | UAE HR Operations | Customer Service| Office Management",https://www.linkedin.com/in/erumnaz,N/A,"hashtag
#We_are_hiring 
Zürich is looking for experienced BIM Modelers to join our dynamic team in UAE. This is a full-time, on-site role where you will work on exciting projects of our clients in the MEP sector across UAE. 
 
Interested candidates can apply via LinkedIn or send their CV to hr@zurichengineering.org

 If you know someone skilled and experienced, please tag them or share this post!


hashtag
#BIMJobs 
hashtag
#Hiring 
hashtag
#DubaiJobs 
hashtag
#MEP 
hashtag
#Construction 
hashta","2 semanas 
 
hace 2 semanas",2025-08-31 20:08:29
BIM Modeler,United States,Estados Unidos,N/A,"Lead HR Executive- Commandtech
Lead HR Executive- Commandtech",https://www.linkedin.com/in/saina-ansar-681566214,N/A,"🚨 We're Hiring: Mechanical BIM Modeler
 📍 Location: Work from Office – Trivandrum ,Kinfra IT Park
 🕒 Experience: 2+ Years
 📅 Immediate Joiners Preferred
Join a dynamic BIM team working on cutting-edge projects in the AEC industry. If you have strong Revit skills and a passion for detail, we want to hear from you!
🔗 Apply Now: https://lnkd.in/gPgfc9Dy 
 OR
Send your CV to rect@commandworld.com


hashtag
#MechanicalBIMModeler 
hashtag
#BIMJobs 
hashtag
#RevitJobs 
hashtag
#MechanicalEngineering 
h","3 semanas 
 
hace 3 semanas",2025-08-31 20:08:51
BIM Modeler,United States,EEUU,N/A,"Talent Acquisition Executive | HR Professional in the AEC Industry | Connecting Talent with Opportunity | Enabling Workforce Efficiency & Growth
Talent Acquisition Executive | HR Professional in the AEC Industry | Connecting Talent with Opportunity | Enabling Workforce Efficiency & Growth",https://www.linkedin.com/in/ayush-tiwari-777891304,N/A,"Hello Connections! 👋
We are hiring for the position of BIM Modeler – Architecture.

📌 Experience Required: 1–4 years
📌 Key Skills: BIM & Revit

If you have hands-on experience in architectural BIM modeling and proficiency in Revit, we’d love to hear from you!

📩 Apply now and take the next step in your career.
Axium Global (formerly XS CAD)","1 semana 
 
hace 1 semana",2025-08-31 20:08:51
BIM Modeler,United States,EEUU,N/A,"HR @ conserve solutions | Talent Acquisition | BIM | MEP | End to End Recruitment | AEC Industry.
HR @ conserve solutions | Talent Acquisition | BIM | MEP | End to End Recruitment | AEC Industry.",https://www.linkedin.com/in/avanthika-k-96957b2ba,N/A,"Hello Connections!

We're hiring BIM Modelers! If you're skilled in Revit and passionate about precision in design, apply now or tag someone who fits!

 
hashtag
#BIMModeler 
hashtag
#BIMEngineer 
hashtag
#BIMCoordinator 
hashtag
#RevitMEP 
hashtag
#MEPDesign 
hashtag
#BIM 
hashtag
#Hiring 
hashtag
#BIMJobs 
hashtag
#MEPEngineering 
hashtag
#BuildingServices 
hashtag
#MEP 
hashtag
#MEPBIM 
hashtag
#Architecture 
hashtag
#StructuralEngineering 
hashtag
#MEPCoordinator 
hashtag
#ConstructionJobs 
","2 semanas 
 
hace 2 semanas",2025-08-31 20:08:51
BIM Modeler,United States,United States,N/A,"Head of Digital Delivery | BSI Certified BIM Professional | AWS Certified Solutions Architect - Associate | Certified Blockchain Professional
Head of Digital Delivery | BSI Certified BIM Professional | AWS Certified Solutions Architect - Associate | Certified Blockchain Professional",https://www.linkedin.com/in/asyrafdzahiri,N/A,"⭐️ We’re Hiring: BIM Modeler (Junior or Senior)
📍 Kuala Lumpur | 🏢 Ranhill Bersekutu

From PETRONAS Twin Towers to Data Centers, our projects shape Malaysia’s future. Now we want YOU to be part of it.

💼 Your Role: Build & manage high-precision BIM models for iconic, multidisciplinary projects.
🎯 You Are: Proficient in Revit/ Civil3D/ Navisworks/ Dynamo a plus. Fresh grad OR 3+ years’ experience.
🌏 Why Join: Global exposure, career growth, work on projects that make history.

📩 Apply now via Job","3 semanas 
 
hace 3 semanas",2025-08-31 20:08:51
BIM Manager,United States,Estados Unidos,N/A,"Profesora / Investigadora Universidad ORT Uruguay - Arquitecta / Diseñadora de Interiores [LM] Design
Profesora / Investigadora Universidad ORT Uruguay - Arquitecta / Diseñadora de Interiores [LM] Design",https://www.linkedin.com/in/marialaguardamallo,N/A,"🚀 We’re Growing – Two BIM Manager Roles Now Open at Studio A100! 🚀

Studio A100 at VIATechnik is shaping the future of how national retail programs and large-scale reality capture initiatives are delivered. We partner with some of the world’s most recognized brands to push the boundaries of technology and design — and we’re looking for two incredible leaders to join us:

BIM Manager – Retail - https://lnkd.in/dg6HZ-aB
BIM Manager – Reality Capture -https://lnkd.in/dhMaWPhS

These roles are a cha","4 semanas 
 
hace 0 meses",2025-08-31 20:10:37
BIM Manager,United States,USA,N/A,"Digital & BIM Landscape Lead at Dar, LEED Green Associate
Digital & BIM Landscape Lead at Dar, LEED Green Associate",https://www.linkedin.com/in/giuliana-santos-87235785,N/A,"🚨 We're Hiring #1!🚨 

📍 Location: Cairo - Smart Village
💼 Role: BIM Manager - Landscape Architecture

Exciting opportunity to join our team and work on innovative landscape architecture projects 🌿
We're looking for a passionate and skilled professional to collaborate on high-impact designs, contribute to BIM deliverables, and help shape sustainable environments. If you're ready to bring creativity, precision, and purpose to your work, this role is for you!

Please don't hesitate to reach out if ","5 horas 
 
hace 5 horas",2025-08-31 20:10:37
BIM Manager,United States,USA,N/A,"Chief Executive Officer at SEG
Chief Executive Officer at SEG",https://www.linkedin.com/in/ali-fakih-phd-pe-leed-ap-87861610,N/A,"We're hiring a Civil BIM Manager to help lead some exciting infrastructure work and drive our digital design efforts forward. If you're into BIM and want to make an impact, or know someone who is, let’s talk.","1 semana 
 
hace 1 semana",2025-08-31 20:10:37
BIM Manager,United States,Estados Unidos,N/A,"BIM Manager/ Head of the BIM project department.
BIM Manager/ Head of the BIM project department.",https://www.linkedin.com/in/farrukh-azimov-8a36a91a1,N/A,"Здравствуйте. Я ищу новую работу и буду признателен(льна) вам за помощь. Если вам известно о карьерных возможностях или если вы просто хотите пообщаться, отправьте мне сообщение или оставьте комментарий ниже. Мне бы хотелось возобновить связь. 
hashtag
#OpenToWork

Обо мне и о том, что я ищу:
💼 Я ищу работу на следующие должности: Инженер-конструктор, BIM Manager и BIM Consultant.
🌎 Меня интересуют вакансии в следующих регионах: Tashkent Region, Uzbekistan, Saudi Arabia, Dubai и Moscow City.
⭐ Р","2 semanas 
 
hace 2 semanas",2025-08-31 20:10:44
BIM Manager,United States,USA,N/A,"Talent Acquisition Specialist in Engineering Sector | ""Certified Naukrigulf Recruiter""
Talent Acquisition Specialist in Engineering Sector | ""Certified Naukrigulf Recruiter""",https://www.linkedin.com/in/alan-varghese-ynwa,N/A,"I am 
hashtag
#hiring for the below role for a project in Qiddiya.

BIM MANAGER - https://lnkd.in/da4ebJsR

Minimum 10 years of total experience with Bachelors in Engineering preferred.
Previous experience working in Design & Build projects. 
Must have experience in Lod 400, 500 & Cobie & knowledge of 4D
Proficiency in revit, navisworks and other softwares will be an advantage
Proven experience handling a team of modelers 
Coordinate and review BIM models, ensuring accuracy and completeness of p","2 semanas 
 
hace 2 semanas",2025-08-31 20:12:07
