search_term,country,location,author_name,author_title,author_url,post_url,post_text,post_date,scraped_date
BIM Modeler,United States,Estados Unidos,N/A,"HR and Administrative Officer | Full-Cycle Recruitment | UAE HR Operations | Customer Service| Office Management
HR and Administrative Officer | Full-Cycle Recruitment | UAE HR Operations | Customer Service| Office Management",https://www.linkedin.com/in/erumnaz,N/A,"hashtag
#We_are_hiring 
Zürich is looking for experienced BIM Modelers to join our dynamic team in UAE. This is a full-time, on-site role where you will work on exciting projects of our clients in the MEP sector across UAE. 
 
Interested candidates can apply via LinkedIn or send their CV to hr@zurichengineering.org

 If you know someone skilled and experienced, please tag them or share this post!


hashtag
#BIMJobs 
hashtag
#Hiring 
hashtag
#DubaiJobs 
hashtag
#MEP 
hashtag
#Construction 
hashta","3 semanas 
 
hace 3 semanas",2025-09-01 15:00:55
BIM Modeler,United States,EEUU,N/A,"Lead HR Executive- Commandtech
Lead HR Executive- Commandtech",https://www.linkedin.com/in/saina-ansar-681566214,N/A,"🚨 We're Hiring: Mechanical BIM Modeler
 📍 Location: Work from Office – Trivandrum ,Kinfra IT Park
 🕒 Experience: 2+ Years
 📅 Immediate Joiners Preferred
Join a dynamic BIM team working on cutting-edge projects in the AEC industry. If you have strong Revit skills and a passion for detail, we want to hear from you!
🔗 Apply Now: https://lnkd.in/gPgfc9Dy 
 OR
Send your CV to rect@commandworld.com


hashtag
#MechanicalBIMModeler 
hashtag
#BIMJobs 
hashtag
#RevitJobs 
hashtag
#MechanicalEngineering 
h","3 semanas 
 
hace 3 semanas",2025-09-01 15:01:27
BIM Modeler,United States,United States,N/A,"Talent Acquisition Executive | HR Professional in the AEC Industry | Connecting Talent with Opportunity | Enabling Workforce Efficiency & Growth
Talent Acquisition Executive | HR Professional in the AEC Industry | Connecting Talent with Opportunity | Enabling Workforce Efficiency & Growth",https://www.linkedin.com/in/ayush-tiwari-777891304,N/A,"Hello Connections! 👋
We are hiring for the position of BIM Modeler – Architecture.

📌 Experience Required: 1–4 years
📌 Key Skills: BIM & Revit

If you have hands-on experience in architectural BIM modeling and proficiency in Revit, we’d love to hear from you!

📩 Apply now and take the next step in your career.
Axium Global (formerly XS CAD)","1 semana 
 
hace 1 semana",2025-09-01 15:01:27
BIM Modeler,United States,United States,N/A,"Head of Digital Delivery | BSI Certified BIM Professional | AWS Certified Solutions Architect - Associate | Certified Blockchain Professional
Head of Digital Delivery | BSI Certified BIM Professional | AWS Certified Solutions Architect - Associate | Certified Blockchain Professional",https://www.linkedin.com/in/asyrafdzahiri,N/A,"⭐️ We’re Hiring: BIM Modeler (Junior or Senior)
📍 Kuala Lumpur | 🏢 Ranhill Bersekutu

From PETRONAS Twin Towers to Data Centers, our projects shape Malaysia’s future. Now we want YOU to be part of it.

💼 Your Role: Build & manage high-precision BIM models for iconic, multidisciplinary projects.
🎯 You Are: Proficient in Revit/ Civil3D/ Navisworks/ Dynamo a plus. Fresh grad OR 3+ years’ experience.
🌏 Why Join: Global exposure, career growth, work on projects that make history.

📩 Apply now via Job","3 semanas 
 
hace 3 semanas",2025-09-01 15:01:27
BIM Modeler,United States,Estados Unidos,N/A,"HR @ conserve solutions | Talent Acquisition | BIM | MEP | End to End Recruitment | AEC Industry.
HR @ conserve solutions | Talent Acquisition | BIM | MEP | End to End Recruitment | AEC Industry.",https://www.linkedin.com/in/avanthika-k-96957b2ba,N/A,"Hello Connections!

We're hiring BIM Modelers! If you're skilled in Revit and passionate about precision in design, apply now or tag someone who fits!

 
hashtag
#BIMModeler 
hashtag
#BIMEngineer 
hashtag
#BIMCoordinator 
hashtag
#RevitMEP 
hashtag
#MEPDesign 
hashtag
#BIM 
hashtag
#Hiring 
hashtag
#BIMJobs 
hashtag
#MEPEngineering 
hashtag
#BuildingServices 
hashtag
#MEP 
hashtag
#MEPBIM 
hashtag
#Architecture 
hashtag
#StructuralEngineering 
hashtag
#MEPCoordinator 
hashtag
#ConstructionJobs 
","2 semanas 
 
hace 2 semanas",2025-09-01 15:01:28
BIM Manager,United States,USA,N/A,"Architecture & Urban Design Section Head | International Award-Winning Architectural Designer | Architecture Designer | Interior Designer | LEED-Certified Professional | Design Consultation | Sustainable Design Expert
Architecture & Urban Design Section Head | International Award-Winning Architectural Designer | Architecture Designer | Interior Designer | LEED-Certified Professional | Design Consultation | Sustainable Design Expert",https://www.linkedin.com/in/ahmed-elkomy-354b80a3,N/A,Check out this job at EA Advisory: BIM Manager,"2 horas 
 
hace 2 horas",2025-09-01 15:02:52
BIM Manager,United States,EEUU,N/A,"Chief Executive Officer at SEG
Chief Executive Officer at SEG",https://www.linkedin.com/in/ali-fakih-phd-pe-leed-ap-87861610,N/A,"We're hiring a Civil BIM Manager to help lead some exciting infrastructure work and drive our digital design efforts forward. If you're into BIM and want to make an impact, or know someone who is, let’s talk.","1 semana 
 
hace 1 semana",2025-09-01 15:02:52
BIM Manager,United States,USA,N/A,"BIM Manager/ Head of the BIM project department.
BIM Manager/ Head of the BIM project department.",https://www.linkedin.com/in/farrukh-azimov-8a36a91a1,N/A,"Здравствуйте. Я ищу новую работу и буду признателен(льна) вам за помощь. Если вам известно о карьерных возможностях или если вы просто хотите пообщаться, отправьте мне сообщение или оставьте комментарий ниже. Мне бы хотелось возобновить связь. 
hashtag
#OpenToWork

Обо мне и о том, что я ищу:
💼 Я ищу работу на следующие должности: Инженер-конструктор, BIM Manager и BIM Consultant.
🌎 Меня интересуют вакансии в следующих регионах: Tashkent Region, Uzbekistan, Saudi Arabia, Dubai и Moscow City.
⭐ Р","2 semanas 
 
hace 2 semanas",2025-09-01 15:03:03
BIM Manager,United States,Estados Unidos,N/A,"Building Engineer & BIM Director
Building Engineer & BIM Director",https://www.linkedin.com/in/tarekghazzaoui,N/A,"Hi everyone! After working as a consultant for 2 years, I’m ready to join a stellar team and would appreciate you helping us find each other! If you know or hear of any opportunities, please send me a message or tag someone in the comments below. I would love to reconnect with old friends, colleagues and industry professionals! 
hashtag
#OpenToWork

📣 Please like, comment and repost this message to increase its reach!

About me & what I’m looking for:
💼 I’m looking for a role as a BIM Manager, D","3 semanas 
 
hace 3 semanas",2025-09-01 15:04:07
Civil works,United States,Estados Unidos,N/A,"HR Manager | KHDA Labour & Immigration Law | Talent Acquisition Specialist | Building High-Performing Teams | Employee Engagement & Development
HR Manager | KHDA Labour & Immigration Law | Talent Acquisition Specialist | Building High-Performing Teams | Employee Engagement & Development",https://www.linkedin.com/in/hamza-chudhary-bbb330128,N/A,"🚨 We’re Hiring: Civil Draftsman – Roads & Infrastructure 🚨
📍 Location: Abu Dhabi, UAE
🕐 Availability: Candidates must be currently available in the UAE
💰 Salary: AED 8,000 – 12,000 (Based on experience and interview)

We are seeking a skilled and detail-oriented Civil Draftsman with a strong background in road and infrastructure projects to join our dynamic engineering team in Abu Dhabi.

The selected candidate will play a key role in preparing accurate technical drawings, layouts, and plans tha","7 horas 
 
hace 7 horas",2025-09-01 15:06:04
